cssuk;cssut;cssue1;cssue3;RMSD_t1_cc;RMSD_t1_st;RMSD_t1_sw;RMSD_t2_cc;RMSD_t2_st;RMSD_t2_sw;RMSD_t3_cc;RMSD_t3_st;RMSD_t3_sw
0;5;1;3;1.525288092;1.913298891;0.957467411;1.799716292;0.813838232;3.242464672;3.334440622;3.33665889;3.331194374
1;5;1;1;1.511475205;1.897529382;0.946517872;1.808502671;0.866544731;3.186977706;3.480271462;3.324920076;3.707614955
1;5;1;0;1.509259938;1.895159548;0.944528803;1.824035217;0.881249638;3.203721431;3.518592598;3.326791749;3.799276768
1;1;0;5;1.861826526;1.290367707;2.698107723;1.842190412;0.851249611;3.292347682;4.273936585;5.103433528;3.060038619
0;1;1;5;1.867481233;1.300731763;2.696870702;1.853186765;0.862856246;3.30245094;4.284905227;5.116537738;3.06788204
1;0;0;5;2.327896118;1.708161196;3.234825273;1.855220634;0.862946865;3.307328589;4.427181062;5.328728754;3.107842978
0;3;0;5;0.21480964;0.265632407;0.917895562;1.861612377;0.81972859;3.386320358;3.755465294;4.287670017;2.976629113
0;0;1;5;2.336845283;1.724393888;3.233115617;1.866372009;0.87472338;3.317565123;4.442108892;5.347933401;3.116512051
1;3;1;3;0.262028309;0.210085752;0.952926936;1.878873572;0.931161348;3.26576951;3.931004401;4.260231359;3.449208853
0;5;0;3;1.522952047;1.912954395;0.952216904;1.90953427;0.859179309;3.44663909;3.413271735;3.360117767;3.49105803
1;5;0;1;1.509132804;1.897183207;0.941254165;1.914033419;0.914695748;3.37647879;3.580047822;3.347720637;3.920038825
0;5;1;1;1.507600016;1.894383462;0.941575461;1.926825553;0.928803251;3.387345995;3.587148246;3.352068964;3.931166707
1;5;0;0;1.506916255;1.894813121;0.939262303;1.931288767;0.930511601;3.395840716;3.628686552;3.349664551;4.037011431
0;5;1;0;1.505382351;1.892011411;0.939583727;1.94449605;0.945187675;3.406898551;3.636454909;3.354019988;4.049774305
0;1;0;5;1.876504103;1.302009975;2.717227217;1.970736047;0.91260731;3.519217125;4.37671189;5.176360873;3.206493865
